generation,index,metric::accuracy,metric::relevance,scalar_fitness
1,0,0.45,0.95,0.8888888888888888
1,1,0.325,0.35,0.33070866141732286
1,2,0.475,0.95,0.9473684210526315
1,3,0.425,0.575,0.6491935483870968
1,4,0.35,0.0,1.999999999995e-12
1,5,0.5,0.25,0.41666666666666663
1,6,0.325,0.5,0.38216560509554137
1,7,0.25,0.45,1.999999999995778e-12
2,0,0.375,0.5,0.2588235294117646
2,1,0.3,1.0,0.5925925925925926
2,2,0.1,0.45,1.999999999976e-12
2,3,0.35,0.8,0.5882352941176471
2,4,0.575,0.975,0.978723404255319
2,5,0.4,0.675,0.5311871227364185
2,6,0.425,0.75,0.629757785467128
2,7,0.25,0.4,1.999999999993667e-12
3,0,0.35,0.3,0.3870967741935483
3,1,0.225,0.45,0.1333333333333333
3,2,0.425,0.8,0.7783783783783783
3,3,0.5,0.85,0.9336384439359267
3,4,0.3,0.4,0.3636363636363636
3,5,0.2,0.0,1e-12
3,6,0.525,0.9,1.0
3,7,0.475,0.05,0.10426540284360189
