number,values_accuracy,values_relevance,datetime_start,datetime_complete,duration,params_llms.nim_llm.temperature,params_llms.nim_llm.top_p,rep_scores,system_attrs_grid_id,system_attrs_search_space,state,pareto_optimal
0,0.53,0.88,2025-12-01 10:51:28.175369,2025-12-01 10:55:12.405486,0 days 00:03:44.230117,0.2,0.8,"[[0.53, 0.88]]",0,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
1,0.47,0.875,2025-12-01 10:55:12.405952,2025-12-01 10:59:13.813096,0 days 00:04:01.407144,0.3,1.0,"[[0.47, 0.875]]",1,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
2,0.545,0.91,2025-12-01 10:59:13.813548,2025-12-01 11:03:25.199014,0 days 00:04:11.385466,0.1,0.9,"[[0.545, 0.91]]",2,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,True
3,0.505,0.935,2025-12-01 11:03:25.199409,2025-12-01 11:07:16.472915,0 days 00:03:51.273506,0.3,0.9,"[[0.505, 0.935]]",3,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
4,0.515,0.97,2025-12-01 11:07:16.473453,2025-12-01 11:11:21.188769,0 days 00:04:04.715316,0.0,1.0,"[[0.515, 0.97]]",4,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,True
5,0.545,0.88,2025-12-01 11:11:21.189304,2025-12-01 11:15:27.039376,0 days 00:04:05.850072,0.2,1.0,"[[0.545, 0.88]]",5,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
6,0.3,0.56,2025-12-01 11:15:27.039821,2025-12-01 11:26:14.568688,0 days 00:10:47.528867,0.0,0.9,"[[0.3, 0.56]]",6,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
7,0.295,0.47,2025-12-01 11:26:14.569108,2025-12-01 11:29:45.880720,0 days 00:03:31.311612,0.2,0.9,"[[0.295, 0.47]]",7,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
8,0.27,0.44,2025-12-01 11:29:45.881166,2025-12-01 11:33:25.368065,0 days 00:03:39.486899,0.3,0.8,"[[0.27, 0.44]]",8,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
9,0.325,0.63,2025-12-01 11:33:25.368463,2025-12-01 11:36:46.494003,0 days 00:03:21.125540,0.1,0.8,"[[0.325, 0.63]]",9,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
10,0.24,0.66,2025-12-01 11:36:46.494921,2025-12-01 11:39:54.058217,0 days 00:03:07.563296,0.0,0.8,"[[0.24, 0.66]]",10,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
11,0.47,0.875,2025-12-01 11:39:54.058590,2025-12-01 11:44:13.766924,0 days 00:04:19.708334,0.1,1.0,"[[0.47, 0.875]]",11,"{'llms.nim_llm.temperature': [0.0, 0.1, 0.2, 0.3], 'llms.nim_llm.top_p': [0.8, 0.9, 1.0]}",COMPLETE,False
